Nama Mobil,Harga,Tahun,Usia,Bahan Bakar,Transmisi,Kapasitas Mesin,harga_angka
Toyota Calya G Mt (2018),Rp 135.000.000,2018,7,Bensin,Manual,1200 cc,135000000
Honda Jazz Rs At (2019),Rp 255.000.000,2019,6,Bensin,Matic,1500 cc,255000000
Honda Brv Prestige (2017),Rp 175.000.000,2017,8,Bensin,Matic,1500 cc,175000000
Nissan Juke Rx At (2015),Rp 127.000.000,2015,10,Bensin,Matic,1500 cc,127000000
Toyota Innova Reborn V Solar Matic (2018),Rp 357.000.000,2018,7,Diesel,Matic,2400 cc,357000000
Toyota Avanza Veloz Mpv (2020),Rp 178.000.000,2020,5,Bensin,Matic,1400 cc,178000000
Honda Brio E Satya At  Merah (2022),Rp 156.000.000,2022,3,Bensin,Matic,1200 cc,156000000
Veloz Q Matic (2022),Rp 258.000.000,2022,3,Bensin,Matic,1500 cc,258000000
Honda Brio Rs (2018),Rp 140.000.000,2018,7,Bensin,Matic,1200 cc,140000000
Toyota Avanza G Mt (2016),Rp 158.000.000,2016,9,Bensin,Manual,1500 cc,158000000
Toyota Innova G At Diesel (2018),Rp 299.000.000,2018,7,Diesel,Matic,2400 cc,299000000
Toyota Fortuner Vnt Trd (2015),Rp 299.000.000,2015,10,Diesel,Matic,2500 cc,299000000
Honda Brio Satya  Merah (2022),Rp 156.000.000,2022,3,Bensin,Matic,1200 cc,156000000
Honda Jazz Hatchback (2018),Rp 169.000.000,2018,7,Bensin,Matic,1500 cc,169000000
Toyota Avanza Veloz Q Tss Automatic (2022),Rp 240.000.000,2022,3,Bensin,Matic,1500 cc,240000000
Toyota Avanza G Mt (2023),Rp 215.000.000,2023,2,Bensin,Manual,1500 cc,215000000
Toyota All New Avanza G Cvt At (2023),Rp 219.000.000,2023,2,Bensin,Matic,1500 cc,219000000
Honda Jazz Rs At  At (2016),Rp 178.000.000,2016,9,Bensin,Matic,1500 cc,178000000
Mitsubishi Pajero Sport Dakar 4x2 Solar (2018),Rp 380.000.000,2018,7,Diesel,Matic,2400 cc,380000000
Daihatsu Sigra R Deluxe At  Putih (2016),Rp 108.000.000,2016,9,Bensin,Matic,1200 cc,108000000
Suzuki Xl7 Alpha Hybrid (2024),Rp 255.000.000,2024,1,Hybrid,Matic,1462 cc,255000000
Suzuki Xl7 Alpha Hybrid (2025),Rp 205.000.000,2025,0,Hybrid,Matic,1462 cc,205000000
Honda Brio Rs  Oranye (2023),Rp 174.000.000,2023,2,Bensin,Manual,1200 cc,174000000
Toyota Innova Reborn V  At (2019),Rp 299.000.000,2019,6,Bensin,Matic,2000 cc,299000000
Honda Brio Rs Bensin At (2022),Rp 185.000.000,2022,3,Bensin,Matic,1200 cc,185000000
Toyota Calya G Mt (2017),Rp 120.000.000,2017,8,Bensin,Manual,1200 cc,120000000
Toyota All New Veloz Q Cvt (2022),Rp 240.000.000,2022,3,Bensin,Matic,1500 cc,240000000
Kia Sportage At (2015),Rp 125.000.000,2015,10,Bensin,Matic,1500 cc,125000000
Toyota Kijang Innova (2019),Rp 315.000.000,2019,6,Bensin,Matic,2400 cc,315000000
Toyota Innova Zenix 2 0 At (2023),Rp 499.000.000,2023,2,Hybrid,Matic,2000 cc,499000000
Mitsubishi Outlander Sport Px Action At  Hitam (2018),Rp 215.000.000,2018,7,Bensin,Matic,2000 cc,215000000
Toyota Avanza G Mpv (2021),Rp 165.000.000,2021,4,Bensin,Matic,1500 cc,165000000
Toyota Avanza Q Non Tss (2023),Rp 235.500.000,2023,2,Bensin,Matic,1500 cc,235500000
Kijang Innova V At  Hitam (2021),Rp 300.000.000,2021,4,Bensin,Matic,2000 cc,300000000
Toyota Innova Reborn V (2016),Rp 245.000.000,2016,9,Bensin,Matic,2000 cc,245000000
Toyota Avanza G Mt (2017),Rp 135.000.000,2017,8,Bensin,Matic,1300 cc,135000000
Suzuki Xl7 Alpha Mt (2023),Rp 202.500.000,2023,2,Bensin,Manual,1500 cc,202500000
Honda Brio E Satya Mt (2022),Rp 143.000.000,2022,3,Bensin,Manual,1200 cc,143000000
Honda Brio Satya E (2021),Rp 155.000.000,2021,4,Bensin,Matic,1200 cc,155000000
Toyota Avanza Veloz Mpv (2021),Rp 192.000.000,2021,4,Bensin,Matic,1500 cc,192000000
Toyota Innova Venturer 4x2 (2019),Rp 315.000.000,2019,6,Bensin,Matic,2000 cc,315000000
Toyota New Rush S Suv Gr Sport Mt (2022),Rp 245.000.000,2022,3,Bensin,Manual,1500 cc,245000000
Honda Jazz Rs  Merah (2019),Rp 199.000.000,2019,6,Bensin,Manual,1500 cc,199000000
Mitsubishi Xpander Ultimate At (2019),Rp 195.000.000,2019,6,Bensin,Matic,1500 cc,195000000
Toyota Veloz Type Q Tss Cvt (2022),Rp 254.900.000,2022,3,Bensin,Matic,1500 cc,254900000
Toyota Calya Type G Lux 1200 Mt (2022),Rp 148.000.000,2022,3,Bensin,Manual,1200 cc,148000000
Bmw 520i M Sport Package (2023),Rp 1.080.000.000,2023,2,Bensin,Matic,2000 cc,1080000000
Wuling Rs Almaz (2023),Rp 255.000.000,2023,2,Bensin,Matic,1500 cc,255000000
Toyota New Rush Type S Gr Sport 1500 Mt (2022),Rp 245.000.000,2022,3,Bensin,Manual,1500 cc,245000000
Mazda 3 Hb Skyactiv At (2018),Rp 255.000.000,2018,7,Bensin,Matic,2000 cc,255000000
Toyota Avanza G Bensin At (2019),Rp 157.000.000,2019,6,Bensin,Matic,1300 cc,157000000
Toyota Kijang Innova (2020),Rp 257.000.000,2020,5,Bensin,Matic,2000 cc,257000000
Toyota Avanza Veloz Q At (2022),Rp 225.000.000,2022,3,Bensin,Matic,1500 cc,225000000
Toyota Kijang Innova (2024),Rp 339.000.000,2024,1,Bensin,Matic,2000 cc,339000000
Suzuki Spresso Matic (2023),Rp 128.000.000,2023,2,Bensin,Matic,1000 cc,128000000
Honda Brio E Satya  Hitam (2021),Rp 150.000.000,2021,4,Bensin,Matic,1200 cc,150000000
Toyota Rush G At  Black (2021),Rp 230.000.000,2021,4,Bensin,Matic,1500 cc,230000000
Suzuki Baleno Hb At (2017),Rp 155.000.000,2017,8,Bensin,Matic,1400 cc,155000000
Honda Brio Rs Hatchback (2023),Rp 174.000.000,2023,2,Bensin,Matic,1200 cc,174000000
Honda Brio Satya E At (2022),Rp 156.000.000,2022,3,Bensin,Matic,1200 cc,156000000
Toyota Innova Reborn G  Mt (2022),Rp 345.000.000,2022,3,Diesel,Manual,2400 cc,345000000
Renault Kwid Climber At (2021),Rp 100.000.000,2021,4,Bensin,Matic,1000 cc,100000000
Toyota Kijang Innova G At  Silver (2020),Rp 278.000.000,2020,5,Bensin,Matic,2000 cc,278000000
Toyota Avanza G Mpv (2020),Rp 168.000.000,2020,5,Bensin,Matic,1300 cc,168000000
Honda Crv Prestige At (2015),Rp 220.000.000,2015,10,Bensin,Matic,2400 cc,220000000
Toyota Kijang Innova Zenix Q Hv Tss Modellista Wagon (2023),Rp 540.000.000,2023,2,Hybrid,Matic,2000 cc,540000000
Honda Brio Rs Hatchback (2016),Rp 118.000.000,2016,9,Bensin,Matic,1200 cc,118000000
Toyota Kijang Innova G At (2022),Rp 345.000.000,2022,3,Bensin,Matic,2400 cc,345000000
Toyota Innova Venturer Diesel At (2022),Rp 455.000.000,2022,3,Diesel,Matic,2400 cc,455000000
Daihatsu Sigra R At  Putih (2022),Rp 132.000.000,2022,3,Bensin,Matic,1200 cc,132000000
Toyota Innova Venturer At (2020),Rp 410.000.000,2020,5,Diesel,Matic,2400 cc,410000000
Toyota Kijang Innova Zenix (2024),Rp 369.000.000,2024,1,Hybrid,Matic,2000 cc,369000000
Toyota Avanza 15 G Mt (2022),Rp 213.000.000,2022,3,Bensin,Manual,1500 cc,213000000
Toyota Innova Reborn G  At (2017),Rp 250.000.000,2017,8,Bensin,Matic,2000 cc,250000000
Toyota Kijang Innova Zenix V Cvt (2022),Rp 385.000.000,2022,3,Hybrid,Matic,2000 cc,385000000
Hyundai Creta Prime (2022),Rp 280.000.000,2022,3,Bensin,Matic,1500 cc,280000000
Toyota Avanza G Bensin At (2019),Rp 157.000.000,2019,6,Bensin,Matic,1300 cc,157000000
Toyota Calya G At (2019),Rp 110.000.000,2019,6,Bensin,Matic,1200 cc,110000000
Toyota Kijang Innova Zenix (2024),Rp 368.000.000,2024,1,Hybrid,Matic,2000 cc,368000000
H1 Royal Diesel (2019),Rp 410.000.000,2019,6,Diesel,Matic,2500 cc,410000000
Honda Brio (2023),Rp 159.500.000,2023,2,Bensin,Matic,1200 cc,159500000
Toyota Kijang Innova Reborn G Diesel (2024),Rp 372.000.000,2024,1,Diesel,Matic,2400 cc,372000000
Toyota Avanza G Mt (2020),Rp 165.000.000,2020,5,Bensin,Manual,1300 cc,165000000
Honda Brv E Prestige Sensing At  Hitam (2022),Rp 239.000.000,2022,3,Bensin,Matic,1500 cc,239000000
Toyota Kijang Innova G Mpv (2019),Rp 251.000.000,2019,6,Diesel,Matic,2000 cc,251000000
Toyota Kijang Innova Reborn G Diesel (2023),Rp 366.000.000,2023,2,Diesel,Matic,2400 cc,366000000
Toyota Kijang Innova Venturer (2018),Rp 289.000.000,2018,7,Bensin,Matic,2000 cc,289000000
Honda Brio Rs Mt  Merah (2017),Rp 126.000.000,2017,8,Bensin,Manual,1200 cc,126000000
Honda Brio Rs (2021),Rp 173.000.000,2021,4,Bensin,Matic,1200 cc,173000000
Honda Crv Turbo (2018),Rp 265.000.000,2018,7,Bensin,Matic,1500 cc,265000000
Nissan Teana Xv At (2015),Rp 185.000.000,2015,10,Bensin,Matic,2500 cc,185000000
Toyota Kijang Innova (2023),Rp 595.000.000,2023,2,Bensin,Matic,2000 cc,595000000
Innova Zenix G At (2024),Rp 340.000.000,2024,1,Hybrid,Matic,2000 cc,340000000
Toyota Avanza G  Mt (2017),Rp 150.000.000,2017,8,Bensin,Manual,1300 cc,150000000
Toyota Rush (2024),Rp 254.500.000,2024,1,Bensin,Matic,1500 cc,254500000
Mazda Cx 5 (2017),Rp 278.500.000,2017,8,Bensin,Matic,2500 cc,278500000
Toyota Kijang Innova Type G Luxury  At 2019 (2019),Rp 245.000.000,2019,6,Bensin,Matic,2000 cc,245000000
Toyota Innova 24 G Diesel At (2022),Rp 385.000.000,2022,3,Bensin,Matic,1500 cc,385000000
Suzuki Ignis Gx Mt  Putih (2017),Rp 109.000.000,2017,8,Bensin,Manual,1200 cc,109000000
Toyota Vellfire Z At (2015),Rp 220.000.000,2015,10,Bensin,Matic,2400 cc,220000000
Toyota Kijang Innova G At (2020),Rp 268.000.000,2020,5,Bensin,Matic,2000 cc,268000000
Nissan Grand Livina Sv  Manual (2017),Rp 105.000.000,2017,8,Bensin,Manual,1500 cc,105000000
Honda Brio Rs  Abu (2018),Rp 115.000.000,2018,7,Bensin,Manual,1200 cc,115000000
Toyota Avanza (2020),Rp 168.000.000,2020,5,Bensin,Matic,1300 cc,168000000
Honda Brio Satya E  Silver (2020),Rp 135.000.000,2020,5,Bensin,Manual,1200 cc,135000000
6000km Only  Agya 12 G Mt (2018),Rp 115.000.000,2018,7,Bensin,Manual,1200 cc,115000000
Honda All New Hrv Rs 15 Turbo (2022),Rp 330.000.000,2022,3,Bensin,Matic,1500 cc,330000000
Honda Mobilio 15 E Prestige At (2015),Rp 105.000.000,2015,10,Bensin,Matic,1500 cc,105000000
Toyota Kijang Innova V Bensin At (2017),Rp 250.000.000,2017,8,Bensin,Matic,2000 cc,250000000
Daihatsu Xenia R Mt Sporty (2016),Rp 115.000.000,2016,9,Bensin,Matic,1300 cc,115000000
Toyota Fortuner Vrz Diesel (2022),Rp 465.000.000,2022,3,Diesel,Matic,2400 cc,465000000
Toyota Kijang Innova G At (2022),Rp 300.000.000,2022,3,Bensin,Matic,2000 cc,300000000
Honda Brio E At (2022),Rp 150.000.000,2022,3,Bensin,Matic,1200 cc,150000000
Hrv E  Sangat Baik (2017),Rp 220.000.000,2017,8,Bensin,Matic,1500 cc,220000000
Toyota Kijang Innova G Solar V At (2020),Rp 320.000.000,2020,5,Diesel,Matic,2400 cc,320000000
Honda Brio 12 E Cvt (2015),Rp 160.000.000,2015,10,Bensin,Matic,1500 cc,160000000
Honda Brio Rs  Merah (2016),Rp 122.000.000,2016,9,Bensin,Manual,1200 cc,122000000
Honda All New Jazz Rs (2018),Rp 208.000.000,2018,7,Bensin,Matic,1500 cc,208000000
Mitsubishi Xpander Cross Premium At  Silver (2020),Rp 229.000.000,2020,5,Bensin,Matic,1500 cc,229000000
Toyota Kijang Innova G Bensin At (2016),Rp 222.000.000,2016,9,Bensin,Matic,2000 cc,222000000
Toyota Corolla Cross Hybrid (2021),Rp 330.000.000,2021,4,Hybrid,Matic,1800 cc,330000000
Xpander Cross Gray Matic (2023),Rp 299.000.000,2023,2,Bensin,Matic,1500 cc,299000000
Honda Brio E Satya At (2022),Rp 156.000.000,2022,3,Bensin,Matic,1200 cc,156000000
Toyota Avanza G At (2024),Rp 238.000.000,2024,1,Bensin,Matic,1500 cc,238000000
Honda Jazz Rs At (2015),Rp 137.000.000,2015,10,Bensin,Matic,1500 cc,137000000
Toyota Avanza G  Abu (2022),Rp 201.000.000,2022,3,Bensin,Matic,1500 cc,201000000
Toyota Avanza G Mpv Premium (2019),Rp 158.000.000,2019,6,Bensin,Matic,1300 cc,158000000
Honda Brio Satya E Hatchback (2021),Rp 138.000.000,2021,4,Bensin,Matic,1200 cc,138000000
Toyota Avanza Veloz (2015),Rp 139.000.000,2015,10,Bensin,Matic,1500 cc,139000000
Mitsubishi Xpander Cross At (2023),Rp 285.000.000,2023,2,Bensin,Matic,1500 cc,285000000
Toyota Avanza Veloz Q Cvt At (2022),Rp 223.000.000,2022,3,Bensin,Matic,1500 cc,223000000
Toyota Innova Q At (2016),Rp 230.000.000,2016,9,Bensin,Matic,2000 cc,230000000
Daihatsu Xenia (2021),Rp 165.000.000,2021,4,Bensin,Manual,1500 cc,165000000
Wuling Confero Std Double Blower Mpv Special Edition 1500 Mt (2022),Rp 118.000.000,2022,3,Bensin,Manual,1500 cc,118000000
Hrv E Cvt Lokasi Kediri (2016),Rp 205.000.000,2016,9,Bensin,Matic,1500 cc,205000000
Nissan Grand Livina Hws At (2015),Rp 125.000.000,2015,10,Bensin,Matic,1500 cc,125000000
Honda Jazz Rs Cvt  At (2015),Rp 179.000.000,2015,10,Bensin,Matic,1500 cc,179000000
Honda Brio Satya E Mt (2021),Rp 146.000.000,2021,4,Bensin,Matic,1200 cc,146000000
Toyota Alphard S At (2015),Rp 260.000.000,2015,10,Bensin,Matic,2400 cc,260000000
Toyota Aln Avanza G Mt (2024),Rp 240.000.000,2024,1,Bensin,Manual,1500 cc,240000000
Suzuki Ignis Gx (2019),Rp 130.000.000,2019,6,Bensin,Matic,1200 cc,130000000
Toyota Innova Zenix Q Hybrid Modelista Panoramic At (2023),Rp 540.000.000,2023,2,Hybrid,Matic,2000 cc,540000000
Toyota Hilux D Cab E 4x4 Solar Mt (2018),Rp 250.000.000,2018,7,Bensin,Manual,2400 cc,250000000
Power Liftgate Fortuner  Vrz 4x2 Solar (2016),Rp 365.000.000,2016,9,Diesel,Matic,2400 cc,365000000
Toyota Avanza New Model G  Mt (2019),Rp 150.000.000,2019,6,Bensin,Manual,1300 cc,150000000
Honda Brio Rs Hatchback (2018),Rp 141.000.000,2018,7,Bensin,Matic,1200 cc,141000000
Toyota Fortuner G At Diesel (2019),Rp 365.000.000,2019,6,Diesel,Matic,2400 cc,365000000
Toyota Kijang Innova G Bensin At (2019),Rp 245.000.000,2019,6,Bensin,Matic,2000 cc,245000000
Wuling Cortez T Lux (2022),Rp 182.000.000,2022,3,Bensin,Matic,1500 cc,182000000
Honda Brio E Satya (2022),Rp 150.000.000,2022,3,Bensin,Matic,1200 cc,150000000
Toyota Grand New Avanza G Mt (2019),Rp 178.000.000,2019,6,Bensin,Manual,1300 cc,178000000
Toyota All New Yaris Cross S Gr Hev (2023),Rp 355.000.000,2023,2,Bensin,Matic,1500 cc,355000000
Toyota Yaris Cross Gr Hybrid (2023),Rp 337.000.000,2023,2,Hybrid,Matic,1500 cc,337000000
Honda Brio E Mt (2016),Rp 100.000.000,2016,9,Bensin,Matic,1200 cc,100000000
Toyota Avanza Veloz Bensin At (2019),Rp 175.000.000,2019,6,Bensin,Matic,1500 cc,175000000
Toyota Fortuner Vrz At (2019),Rp 390.000.000,2019,6,Diesel,Matic,2400 cc,390000000
Toyota Kijang Innova Zenix V Premium Color Mpv (2023),Rp 390.000.000,2023,2,Hybrid,Matic,2000 cc,390000000
Toyota Kijang Innova Reborn G Lux (2021),Rp 295.000.000,2021,4,Bensin,Matic,2000 cc,295000000
Toyota Kijang Innova Venturer Mpv (2017),Rp 271.000.000,2017,8,Bensin,Matic,2000 cc,271000000
Honda Jazz Rs Cvt (2016),Rp 190.000.000,2016,9,Bensin,Matic,1500 cc,190000000
Honda Brio E Cvt (2021),Rp 160.000.000,2021,4,Bensin,Matic,1500 cc,160000000
Mitsubishi Xforce Ultimate At  Putih (2023),Rp 308.000.000,2023,2,Bensin,Matic,1500 cc,308000000
Toyota Avanza G Mpv At  Hitam (2023),Rp 213.000.000,2023,2,Bensin,Matic,1500 cc,213000000
Honda Brio 12 E Cvt (2015),Rp 190.000.000,2015,10,Bensin,Matic,1500 cc,190000000
Honda Jazz Rs At (2019),Rp 238.000.000,2019,6,Bensin,Matic,1500 cc,238000000
Innova Zenix V Hybrid Modelista (2023),Rp 455.000.000,2023,2,Hybrid,Matic,2000 cc,455000000
Nissan Serena Highway Starr (2019),Rp 265.000.000,2019,6,Bensin,Matic,2000 cc,265000000
Toyota Innova Zenix V Bensin (2023),Rp 360.000.000,2023,2,Hybrid,Matic,2000 cc,360000000
Mazda Cx 5 Grand Touring (2018),Rp 294.000.000,2018,7,Bensin,Matic,2000 cc,294000000
Toyota Kijang Innova G Mt (2020),Rp 328.000.000,2020,5,Bensin,Manual,2400 cc,328000000
Honda Brio Rs Cvt At (2020),Rp 158.500.000,2020,5,Bensin,Matic,1200 cc,158500000
Mitsubishi Xpander Cross Premium At  Hitam (2021),Rp 231.000.000,2021,4,Bensin,Matic,1500 cc,231000000
Honda Jazz Rs At2015 (2015),Rp 185.000.000,2015,10,Bensin,Matic,1500 cc,185000000
Toyota Avanza G Mpv (2019),Rp 160.000.000,2019,6,Bensin,Matic,1300 cc,160000000
Honda Jazz Rs Hatchback (2017),Rp 189.000.000,2017,8,Bensin,Matic,1500 cc,189000000
Toyota Rush Gr Sport At  Silver (2022),Rp 234.000.000,2022,3,Bensin,Matic,1500 cc,234000000
Toyota Innova Reborn G Matic (2017),Rp 253.000.000,2017,8,Bensin,Matic,1500 cc,253000000
Toyota Avanza E At (2023),Rp 194.000.000,2023,2,Bensin,Matic,1300 cc,194000000
Honda Brv E Prestige At  Hitam (2023),Rp 244.000.000,2023,2,Bensin,Matic,1500 cc,244000000
Innova Venturerat Diesel  Facelift (2021),Rp 400.000.000,2021,4,Diesel,Matic,2400 cc,400000000
Dijual Cepat Toyota Calya G At (2020),Rp 125.000.000,2020,5,Bensin,Matic,1200 cc,125000000
Toyota Avanza G At  Abu Abu (2018),Rp 160.000.000,2018,7,Bensin,Matic,1500 cc,160000000
Toyota Avanza 13 G Mt (2018),Rp 150.000.000,2018,7,Bensin,Matic,1500 cc,150000000
Daihatsu Sirion Mt (2018),Rp 127.000.000,2018,7,Bensin,Manual,1300 cc,127000000
Toyota Kijang Innova G Mpv (2019),Rp 317.000.000,2019,6,Diesel,Matic,2400 cc,317000000
Toyota Innova Reborn G  Mt (2020),Rp 280.000.000,2020,5,Bensin,Manual,2000 cc,280000000
Daihatsu Sigra R At (2024),Rp 139.000.000,2024,1,Bensin,Matic,1200 cc,139000000
Jual Nissan Grand Livina Xv 15 Hws Autech (2015),Rp 115.000.000,2015,10,Bensin,Matic,1500 cc,115000000
Toyota Kijang Innova Luxury Mpv (2022),Rp 298.000.000,2022,3,Bensin,Matic,2000 cc,298000000
Honda Brv E Prestige Suv (2020),Rp 199.000.000,2020,5,Bensin,Matic,1500 cc,199000000
All New Kijang Innova Diesel Manual (2019),Rp 310.000.000,2019,6,Diesel,Manual,2400 cc,310000000
Toyota Veloz Q Tss Mpv (2021),Rp 234.000.000,2021,4,Bensin,Matic,1500 cc,234000000
Honda Mobilio Rs At (2015),Rp 140.000.000,2015,10,Bensin,Matic,1500 cc,140000000
Toyota Kijang Innova G Mpv (2019),Rp 247.000.000,2019,6,Bensin,Matic,2000 cc,247000000
Toyota Avanza Veloz Q Cvt At (2022),Rp 230.000.000,2022,3,Bensin,Matic,1500 cc,230000000
Toyota Innova G At (2019),Rp 245.000.000,2019,6,Bensin,Matic,2000 cc,245000000
Toyota Kijang Innova G At (2019),Rp 340.000.000,2019,6,Diesel,Matic,2400 cc,340000000
Honda Mobilio Rs At (2015),Rp 140.000.000,2015,10,Bensin,Matic,1500 cc,140000000
Toyota Avanza (2020),Rp 168.000.000,2020,5,Bensin,Matic,1300 cc,168000000
Toyota Avanza E Manual (2015),Rp 115.000.000,2015,10,Bensin,Manual,1500 cc,115000000
Toyota Avanza E Mt (2021),Rp 146.000.000,2021,4,Bensin,Manual,1300 cc,146000000
Toyota Avanza G Mpv (2022),Rp 202.000.000,2022,3,Bensin,Matic,1500 cc,202000000
Suzuki Apv Arena Gl Mt  Silver (2019),Rp 119.000.000,2019,6,Bensin,Manual,1500 cc,119000000
Toyota Avanza E  At (2018),Rp 150.000.000,2018,7,Bensin,Matic,1300 cc,150000000
Daihatsu Terios R At  Silver (2021),Rp 208.000.000,2021,4,Bensin,Matic,1500 cc,208000000
Avanza G Matic (2019),Rp 185.000.000,2019,6,Bensin,Matic,1300 cc,185000000
Honda Brio E Cvt  At (2020),Rp 155.000.000,2020,5,Bensin,Matic,1200 cc,155000000
Toyota Innova V At (2019),Rp 290.000.000,2019,6,Bensin,Matic,2000 cc,290000000
Honda Brio E Satya  Merah (2023),Rp 161.000.000,2023,2,Bensin,Matic,1200 cc,161000000
Toyota Fortuner Vrz Gr Diesel (2023),Rp 509.000.000,2023,2,Diesel,Matic,2800 cc,509000000
Toyota Alphard Sc At (2015),Rp 285.000.000,2015,10,Bensin,Matic,2400 cc,285000000
Toyota Avanza G Mt (2019),Rp 160.000.000,2019,6,Bensin,Matic,1300 cc,160000000
Toyota Kijang Innova G (2021),Rp 350.000.000,2021,4,Diesel,Matic,2400 cc,350000000
Toyota Calya G (2018),Rp 116.000.000,2018,7,Bensin,Matic,1200 cc,116000000
Honda Brio Satya E (2019),Rp 129.000.000,2019,6,Bensin,Manual,1200 cc,129000000
Toyota Avanza 13 G Mt (2019),Rp 167.000.000,2019,6,Bensin,Manual,1500 cc,167000000
Honda Civic Turbo  Prestige (2017),Rp 280.000.000,2017,8,Bensin,Matic,1500 cc,280000000
Toyota Yaris G At  Putih (2020),Rp 171.000.000,2020,5,Bensin,Matic,1500 cc,171000000
Toyota Voxy At (2020),Rp 335.000.000,2020,5,Bensin,Matic,2000 cc,335000000
Honda Brio Rs At  Abu Metalik (2017),Rp 130.000.000,2017,8,Bensin,Matic,1500 cc,130000000
Mitsubishi Outlander Gls At (2016),Rp 165.000.000,2016,9,Bensin,Matic,2000 cc,165000000
Toyota Innova Venturer (2017),Rp 266.000.000,2017,8,Bensin,Matic,2000 cc,266000000
Toyota Kijang Innova Zenix V (2023),Rp 405.000.000,2023,2,Hybrid,Matic,2000 cc,405000000
Honda Hrv E Se (2019),Rp 234.000.000,2019,6,Bensin,Matic,1500 cc,234000000
Toyota Innova 2.4 G Deisel At (2019),Rp 345.000.000,2019,6,Diesel,Matic,2400 cc,345000000
Toyota Avanza G At  Hitam (2023),Rp 219.000.000,2023,2,Bensin,Matic,1300 cc,219000000
Toyota Kijang Innova Zenix V Premium Color Mpv (2023),Rp 389.000.000,2023,2,Hybrid,Matic,2000 cc,389000000
Toyota Aln Agya G Mt (2024),Rp 165.000.000,2024,1,Bensin,Manual,1200 cc,165000000
Toyota Kijang Innova Zenix  Hitam (2023),Rp 393.000.000,2023,2,Hybrid,Matic,2000 cc,393000000
Daihatsu Terios R At  Silver (2022),Rp 203.000.000,2022,3,Bensin,Matic,1500 cc,203000000
Honda Jazz Rs At  Nik 2019 (2020),Rp 225.000.000,2020,5,Bensin,Matic,1500 cc,225000000
Toyota Avanza G Cvt  Abu (2023),Rp 212.000.000,2023,2,Bensin,Matic,1500 cc,212000000
Honda Brio E At (2022),Rp 160.000.000,2022,3,Bensin,Matic,1200 cc,160000000
Honda Brio Rs Hatchback  Putih (2022),Rp 159.000.000,2022,3,Bensin,Manual,1200 cc,159000000
Chevrolet Captiva Ltz Diesel (2017),Rp 230.000.000,2017,8,Diesel,Matic,2000 cc,230000000
Honda Jazz Rs At (2019),Rp 209.000.000,2019,6,Bensin,Matic,1500 cc,209000000
Toyota Rush S Trd Sportivo At  Silver (2018),Rp 188.000.000,2018,7,Bensin,Matic,1500 cc,188000000
Toyota Kijang Innova Reborn G Bensin At (2020),Rp 265.000.000,2020,5,Bensin,Matic,2000 cc,265000000
Toyota Innova Venturer  Hitam (2020),Rp 331.000.000,2020,5,Bensin,Matic,2000 cc,331000000
Honda Jazz Rs At (2016),Rp 173.000.000,2016,9,Bensin,Matic,1500 cc,173000000
Toyota All New Avanza G Cvt At (2023),Rp 218.000.000,2023,2,Bensin,Matic,1500 cc,218000000
Honda Crv Turbo  Nik 2022 (2022),Rp 378.000.000,2022,3,Bensin,Matic,1500 cc,378000000
Toyota Innova G At Bensin (2020),Rp 303.000.000,2020,5,Bensin,Matic,2000 cc,303000000
Honda Brio Rs At (2017),Rp 130.000.000,2017,8,Bensin,Matic,1500 cc,130000000
Toyota Avanza G Mpv (2022),Rp 200.000.000,2022,3,Bensin,Matic,1500 cc,200000000
Honda City E Sedan (2020),Rp 205.000.000,2020,5,Bensin,Matic,1500 cc,205000000
Toyota Fortuner Vrz At (2022),Rp 488.000.000,2022,3,Diesel,Matic,2800 cc,488000000
Innova Reborn G At Diesel  Facelift (2021),Rp 354.000.000,2021,4,Diesel,Matic,2400 cc,354000000
Toyota Kijang Innova Zenix V Cvt Bensin At (2023),Rp 385.000.000,2023,2,Hybrid,Matic,2000 cc,385000000
Toyota Fortuner Vrz Trd 4x4 (2020),Rp 385.000.000,2020,5,Diesel,Matic,2500 cc,385000000
Toyota Fortuner Trd At (2021),Rp 454.000.000,2020,5,Diesel,Matic,2695 cc,454000000
Toyota Calya E Std Mt (2016),Rp 120.000.000,2016,9,Bensin,Manual,1200 cc,120000000
Toyota All New Avanza G Mt (2022),Rp 185.000.000,2022,3,Bensin,Manual,1500 cc,185000000
Toyota Kijang Innova (2021),Rp 550.000.000,2021,4,Bensin,Matic,2000 cc,550000000
Daihatsu Sigra R Mt  Putih (2023),Rp 128.000.000,2023,2,Bensin,Manual,1200 cc,128000000
Kijang Innova G At  Silver Metalik (2020),Rp 278.000.000,2020,5,Bensin,Matic,2000 cc,278000000
Toyota Veloz Q Tss At  Hitam (2022),Rp 241.000.000,2022,3,Bensin,Matic,1500 cc,241000000
Toyota New Rush S Gr Sport 1500 Mt (2022),Rp 245.000.000,2022,3,Bensin,Manual,1500 cc,245000000
Honda Brio E Cvt At (2018),Rp 120.000.000,2018,7,Bensin,Matic,1200 cc,120000000
Honda Brio E Cvt Kuning Metic Kediri (2022),Rp 160.000.000,2022,3,Bensin,Matic,1200 cc,160000000
Toyota Fortuner Srz Bensin (2016),Rp 320.000.000,2016,9,Bensin,Matic,2700 cc,320000000
Toyota Altis V At (2016),Rp 253.000.000,2016,9,Bensin,Matic,1800 cc,253000000
Toyota Kijang Innova Zenix Hv Tss Modellista (2023),Rp 565.000.000,2023,2,Hybrid,Matic,2000 cc,565000000
