Nama Mobil,Harga,Tahun,Usia,Bahan Bakar,Transmisi,Kapasitas Mesin,harga_angka
Daihatsu Ayla X Mt (2023),Rp 119.000.000,2023,2,Bensin,Manual,1200 cc,119000000
Mazda Cx3 Sport At (2024),Rp 329.000.000,2024,1,Bensin,Matic,1500 cc,329000000
Honda Brio Satya E (2018),Rp 124.000.000,2018,7,Bensin,Matic,1200 cc,124000000
Nissan Terra Vl 4x4 Diesel (2023),Rp 615.000.000,2023,2,Diesel,Matic,2500 cc,615000000
Honda Hrv Prestige Suv (2021),Rp 286.000.000,2021,4,Bensin,Matic,1800 cc,286000000
Toyota New Avanza Veloz Mpv 1500 At (2021),Rp 215.000.000,2021,4,Bensin,Matic,1500 cc,215000000
Honda Jazz Gk5 Rs Cvt Ckd  Merah (2016),Rp 180.000.000,2016,9,Bensin,Matic,1500 cc,180000000
Daihatsu Sigra Type D Minor Change 1000 Mt (2022),Rp 120.000.000,2022,3,Bensin,Manual,1000 cc,120000000
Wuling Confero Type Std Double Blower Special Edition 1500 Mt (2022),Rp 118.000.000,2022,3,Bensin,Manual,1500 cc,118000000
Toyota Calya G At  Silver (2016),Rp 106.000.000,2016,9,Bensin,Matic,1500 cc,106000000
Wuling Confero Type Std Double Blower Special Edition 1500 Mt (2022),Rp 118.000.000,2022,3,Bensin,Manual,1500 cc,118000000
Daihatsu Sigra Type D Minor Change 1000 Mt (2024),Rp 128.000.000,2024,1,Bensin,Manual,1000 cc,128000000
Toyota Avanza G Mpv  Hitam (2022),Rp 203.000.000,2022,3,Bensin,Matic,1500 cc,203000000
Toyota Avanza E Bensin Mt (2016),Rp 123.000.000,2016,9,Bensin,Manual,1300 cc,123000000
Toyota Avanza 13 G Mt (2017),Rp 142.000.000,2017,8,Bensin,Manual,1500 cc,142000000
Honda Brio Satya E Hatchback (2022),Rp 156.000.000,2022,3,Bensin,Matic,1200 cc,156000000
Toyota Alphard G Atpm Hitam (2017),Rp 625.000.000,2017,8,Bensin,Matic,2500 cc,625000000
Toyota Avanza Veloz Q Cvt (2024),Rp 230.000.000,2024,1,Bensin,Matic,1500 cc,230000000
Toyota All New Avanza Veloz Q (2022),Rp 225.000.000,2022,3,Bensin,Matic,1500 cc,225000000
Toyota Avanza G Mt (2015),Rp 125.000.000,2015,10,Bensin,Manual,1300 cc,125000000
